beer,type,vol,origin,A,R,MK,MP,C,H
Kilkenny,Red Ale,4.3,Irland,8.5,6.5,4.0,8,9.0,5.0
Eichbaum Export,Export,5.5,Baden-Württemberg,4.0,6.0,5.0,5,4.0,6.0
Faust Hefe-Weizen Hell,Weißbier,5.1,Bayern,6.0,7.0,4.0,6,2.0,6.0
Distelhäuser Pils,Pilsner,4.9,Baden-Württemberg,5.0,7.0,5.0,6,4.0,3.0
Stuttgarter Hofbräu Pilsner,Pilsner,4.9,Baden-Württemberg,5.5,5.0,5.0,5,5.0,7.0
Bayreuther Aktien Zwick'l Kellerbier,Zwickel,5.3,Bayern,6.0,8.5,6.0,6,7.0,7.0
Salitos Tequila,Biermischgetränk,5.9,Nordrhein-Westfalen,7.0,7.5,8.0,8,8.0,7.0
König Ludwig Hell,Helles,5.1,Bayern,7.0,6.0,7.0,5,7.0,6.0
Carlsberg Pilsner,Pilsner,5.0,Dänemark,4.0,6.0,7.0,7,5.0,4.0
Schreckenskammer-Kölsch,Kölsch,5.0,Nordrhein-Westfalen,7.5,8.5,8.0,7,8.0,4.0
König Ludwig Dunkel,Dunkelbier,5.1,Nordrhein-Westfalen,8.0,7.0,3.5,6,8.5,8.5
Kulmbacher Edelherb,Pilsner,4.9,Bayern,8.0,7.0,6.5,7,5.0,7.0
Rothaus Pils Tannenzäpfle,Pilsner,5.1,Baden-Württemberg,3.0,4.0,4.0,6,5.0,5.0
Joybräu Grapefruit Alkoholfrei,Alkoholfreies,0.0,Hamburg,2.0,4.0,1.0,1,3.0,0.5
Corona Extra,Pilsner,4.5,Mexiko,4.0,8.0,6.5,5,5.0,5.0
Grimbergen Double-Ambrée,Abteibier,6.5,Belgien,,7.0,3.5,8,7.0,6.0
Pilsner Urquell,Pilsner,4.4,Tschechien,,6.0,6.0,5,5.0,4.0
Paulaner Original Münchner Hell,Helles,4.9,Bayern,,6.0,7.0,4,6.0,8.0
Mönchshof Maibock,Maibock,6.9,Bayern,,7.0,4.0,6,4.0,5.0
