beer,type,vol,origin,MK,Z,A,MP,R,H,G,C,LY,LM
Iron Maiden Trooper Ale,Ale,4.7,UK,6.0,10.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,5.0
Duckstein Bernstein Märzen,Märzen,5.5,Hamburg,6.0,7.0,7.0,6.0,7.0,5.0,8.0,6.0,5.0,6.0
Astra Rotlicht,type,vol,origin,5.0,5.0,8.5,5.0,7.0,5.0,7.0,5.0,5.0,7.0
Würzbuger Hofbräu,Bockbier,6.0,Hamburg,8.0,6.0,4.0,4.0,6.0,8.0,5.0,,7.0,9.0
Insel-Brauerei Baltic Ale,Ale,7.5,Mecklenburg-Vorpommern,3.0,5.0,2.0,4.0,3.0,2.0,5.0,,9.0,3.0
Budweiser Budwa Chechz Lager,type,vol,origin,5.5,5.0,3.5,3.0,4.0,6.0,6.0,,,
Engel Gold,Export,5.4,Baden-Württemberg,6.0,6.0,,4.0,6.0,6.0,5.5,,,
Schreckenskammer,type,vol,origin,8.0,,7.5,,8.0,,8.0,,,
Grevensteiner,type,vol,origin,4.0,,3.0,6.0,4.0,,,,,
Holsten Edel,type,vol,origin,5.0,,,6.0,,,,,,
Heile Welt,type,vol,origin,4.0,,,,3.0,,,,,5.0
B bob,type,vol,origin,1.5,1.0,,1.0,2.0,,,1.0,,
