beer,type,vol,origin,MK,MS,Y,MP,H,R,C,A,L
Aecht Schlenkerla Rauchbier Märzen,Rauchbier,5.1,Bayern,2.0,8.0,3,5.0,,4.0,5.0,4.0,
Crew Republic 7:45 Escalation,Double IPA,8.3,Bayern,3.0,2.0,1,3.0,,6.0,3.0,5.0,4.0
Bahkauv Brew The Devil And The Maid,NEIPA,6.5,Nordrhein-Westfalen,4.0,1.006,4,4.0,,7.0,4.0,8.5,2.0
Original Ritterguts Gose,Gose,4.7,Sachsen,1.0,2.0,7,1.0,,8.0,2.0,1.0,1.5
Haake Beck Pils,Pils,4.9,Bremen,5.0,,8,6.0,,7.5,6.0,10.0,7.0
Schneider Weisse Aventinus,Weizenbock,8.2,Bayern,3.0,3.0,4,7.0,4.0,7.0,2.0,5.5,2.0
Crew Republic Sour Rangers, Sour Ale,4.9,Bayern,2.0,2.0,2,2.0,2.0,5.0,1.0,6.0,3.0
Veltins helles Pülleken,Helles,5.2,Nordrhein-Westfalen,7.0,6.0,6,6.0,5.0,7.0,6.0,5.0,7.0
Joybräu Grapefruit Alkoholfrei,Alkoholfreies,0.0,Hamburg,1.5,1.0,3,1.0,1.0,3.0,2.0,1.0,-1.0
Crew Republic Rest in Peach,Barley Wine,10.1,Bayern,2.0,2.0,1,3.0,2.5,2.5,4.0,3.0,4.0
Meckatzer Hell,Hell,4.9,Baden-Württemberg,6.0,6.0,6,7.0,5.0,4.0,5.0,6.5,4.5
Crew Republic Local Hero,Hell,5.0,Bayern,4.0,3.0,4,,6.0,3.5,2.0,3.0,5.0
